Disease,Category,Symptoms,Prevention,Risk_Level
Chlamydia trachomatis,Infectious,Early-stage Chlamydia trachomatis infections often cause few symptoms; Symptoms of Chlamydia trachomatis infection can include:; Painful urination; Vaginal discharge; Discharge from the penis; Painful vaginal sex; Vaginal bleeding between periods and after sex; Testicular pain,Use condoms; Limit your number of sex partners.Having multiple sex partners puts you at a high risk of contracting chlamydia and other sexually transmitted infections; Get regular screenings; A medicine called doxycycline may be an option to prevent infection among people at higher risk than average of getting chlamydia; Taking doxycycline within 3 days of sexual activity lowers the risk of an infection with the bacteria that cause chlamydia,High
Primary sclerosing cholangitis,Cancer,Primary sclerosing cholangitis is often diagnosed before symptoms appear when a routine blood test or an X-ray taken for an unrelated condition shows liver abnormalities; Early signs and symptoms often include:; Fatigue; Itching; Yellow eyes and skin (jaundice); Abdominal pain; Many people diagnosed with primary sclerosing cholangitis before they have symptoms continue to feel generally well for several years; Signs and symptoms that may appear as the disease progresses include:,,High
Huntington's disease,Neurological,Huntington's disease usually causes movement disorders,"People with a known family history of Huntington's disease may be concerned about whether they may pass the Huntington gene on to their children; If an at-risk parent is considering genetic testing, it can be helpful to meet with a genetic counselor; Another option for couples is in vitro fertilization and preimplantation genetic diagnosis",High
Gastroesophageal reflux disease (GERD),Cardiovascular,"A burning sensation in the chest, often called heartburn. Heartburn usually happens after eating and might be worse at night or while lying down; Backwash of food or sour liquid in the throat; Upper belly or chest pain; Trouble swallowing, called dysphagia; Sensation of a lump in the throat; If you have nighttime acid reflux, you also might experience:; An ongoing cough; Inflammation of the vocal cords, known as laryngitis",,High
Addison's disease,Endocrine,"Addison's disease symptoms usually happen slowly, often over months; Early symptoms of Addison's disease can affect you in various ways. Some early symptoms can cause discomfort or loss of energy, including:; Extreme tiredness, also called fatigue; Dizziness or fainting when standing after sitting or lying down. This is due to a type of low blood pressure called postural hypotension; Sweating due to low blood sugar, also called hypoglycemia; Upset stomach, diarrhea or vomiting; Pain in the stomach area, also called the abdomen; Muscle cramps, weakness, widespread pain or joint pain","Talk with your healthcare professional if you always feel tired or weak or are losing weight without trying; If you have Addison's disease, ask your healthcare professional what to do when you're sick; If you become very sick, go to an emergency room. This is crucial if you're vomiting and you can't take your medicine; Some people with Addison's disease worry about serious side effects from corticosteroid medicines; If you take corticosteroids, follow up with your healthcare professional regularly to make sure your dose is not too high",High
Chronic exertional compartment syndrome,Neurological,"Your limbs have specific areas of muscle (compartments); Signs and symptoms can include:; Pain caused by chronic exertional compartment syndrome typically follows this pattern:; Taking a complete break from exercise or performing only low-impact activity might relieve your symptoms, but relief is usually only temporary",,High
Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS),Other,"Extreme exhaustion after physical or mental exercise; Problems with memory or thinking skills; Dizziness that worsens with moving from lying down or sitting to standing; Muscle or joint pain; Unrefreshing sleep; Some people with this condition have headaches, sore throats, and tender lymph nodes in the neck or armpits",,Medium
Chronic kidney disease,Ear/Nose/Throat,Nausea; Vomiting; Loss of appetite; Fatigue and weakness; Sleep problems; Urinating more or less; Decreased mental sharpness; Muscle cramps,Follow instructions on over-the-counter medications; Maintain a healthy weight; Don't smoke; Manage your medical conditions with your doctor's help,High
COPD,Cardiovascular,"COPD symptoms often don't appear until a lot of lung damage has occurred; Symptoms of COPD may include:; Trouble catching your breath, especially during physical activities; Wheezing or whistling sounds when breathing; Ongoing cough that may bring up a lot of mucus. The mucus may be clear, white, yellow or greenish; Chest tightness or heaviness; Lack of energy or feeling very tired; Frequent lung infections","Unlike some other medical conditions, COPD often has a clear cause and a clear way to prevent it; If you've smoked for a long time, quitting can be hard, especially if you've tried quitting once, twice or many times before; Workplace exposure to chemical fumes, vapors and dusts is another risk factor for COPD; Here are some steps you can take to help prevent complications linked with COPD:; Quit smoking to help lower your risk of heart disease and lung cancer; Get an annual flu vaccination and vaccination against pneumococcal pneumonia to lower your risk of or prevent some infections; Talk with your healthcare professional or a mental health professional if you feel sad or hopeless or think that you may have depression",High
Chronic sinusitis,Respiratory,"Thick, discolored mucus from the nose, known as a runny nose; Mucus down the back of the throat, known as postnasal drip; Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose; Pain, tenderness and swelling around the eyes, cheeks, nose or forehead; Reduced sense of smell and taste; Other symptoms can include:; Ear pain; Headache","Protect your health.Try to stay away from people who have colds or other infections. Wash your hands often with soap and water, especially before meals; Manage allergies.Work with your health care provider to keep symptoms under control. Stay away from things you're allergic to when possible; Avoid cigarette smoke and polluted air.Tobacco smoke and other pollutants can irritate the lungs and inside the nose, called the nasal passages; Use a humidifier",Medium
Vulvodynia,Ear/Nose/Throat,"Burning; Irritation; Stinging; Rawness; Soreness; Sharp or knife-like pain; You also may feel aching, throbbing and swelling; How often the symptoms happen and where exactly they're felt varies from person to person",,Medium
Creutzfeldt-Jakob disease,Neurological,"Death usually occurs within a year; In people with variantCJD, changes in mental abilities may be more apparent in the beginning of the disease; VariantCJDaffects people at a younger age thanCJD. VariantCJDappears to last 12 to 14 months; Another rare form of prion disease is called variably protease-sensitive prionopathy (VPSPr)",There's no known way to prevent sporadicCJD,High
Depression (major depressive disorder),Mental Health,"Feelings of sadness, tearfulness, emptiness or hopelessness; Angry outbursts, irritability or frustration, even over small matters; Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports; Sleep disturbances, including insomnia or sleeping too much; Tiredness and lack of energy, so even small tasks take extra effort; Reduced appetite and weight loss or increased cravings for food and weight gain; Anxiety, agitation or restlessness; Slowed thinking, speaking or body movements","There's no sure way to prevent depression. However, these strategies may help; Take steps to control stress,to increase your resilience and boost your self-esteem; Reach out to family and friends,especially in times of crisis, to help you weather rough spells; Get treatment at the earliest sign of a problemto help prevent depression from worsening; Consider getting long-term maintenance treatmentto help prevent a relapse of symptoms",High
